symbol,name,score
002023,海特高新,0.0016216197976020431
002060,广东建工,0.0009973318985566698
000990,诚志股份,0.0008514745446446527
002158,汉钟精机,0.0001126431082857804
002020,京新药业,3.465666511992892e-06
000837,秦川机床,-0.00013457286953285648
002019,亿帆医药,-0.00017620088863467396
000935,四川双马,-0.00024739835323921773
000811,冰轮环境,-0.0003063698007325936
002075,沙钢股份,-0.000310845909672289
000767,晋控电力,-0.0003339066936784169
002045,国光电器,-0.00044262281697996246
002097,山河智能,-0.00045052157494172087
002010,传化智联,-0.00046329502305383343
000682,东方电子,-0.00048610920434475485
002017,东信和平,-0.0005140876230535769
000589,贵州轮胎,-0.0005154722030348331
001914,招商积余,-0.0005888486869333232
002100,天康生物,-0.0005923074394299937
002061,浙江交科,-0.0005950904972109175
002145,钛能化学,-0.0006054697745152195
002104,恒宝股份,-0.0006176835989526652
002099,海翔药业,-0.0006250366513096804
002003,伟星股份,-0.0006351002759036649
000901,航天科技,-0.0006753331893484786
002079,苏州固锝,-0.000682256508063702
000902,新洋丰,-0.0006870699095952316
000600,建投能源,-0.0007450828622767749
002139,拓邦股份,-0.0008520201730325694
000801,四川九洲,-0.000855236963793769
